ID,2_1a,Quant,R3_2,R3_3,R3_4,R4_2,R4_3,R4_4,R5_2,R5_3,R5_4,R6_2,R6_3,R6_4,R7_2,R7_3,R7_4,R8_2,R8_3,R8_4,R9_2,R9_3,R9_4,R10_2,R10_3,R10_4,R11_2,R11_3,R11_4,R12_2,R12_3,R12_4,R13_2,R13_3,R13_4,R14_2,R14_3,R14_4,R15_2,R15_3,R15_4,R16_2,R16_3,R16_4,R17_2,R17_3,R17_4,Career,US
R_3lEyDck5SKho6tK,Yes,1,30,1,1,30,1,1,30,2,2,40,1,1,30,1,3,30,2,2,70,1,2,20,1,2,50,1,1,10,1,1,30,1,3,20,1,4,40,1,4,10,1,3,70,5,4,Early,1
R_1FvO3iP4syngYw1,Yes,1,50,3,2,30,1,2,80,3,2,90,4,3,50,1,3,90,4,1,50,3,2,70,4,2,50,3,2,20,1,1,20,1,3,20,1,3,30,1,3,10,1,2,50,4,4,Early,0
R_1mlSb5qVtcQ2oRt,Yes,1,70,1,1,30,1,1,30,1,2,40,3,2,20,1,1,20,1,1,10,1,1,60,3,2,30,1,1,0,1,1,10,2,4,10,2,3,10,2,4,10,3,3,10,1,3,Early,1
R_22KtHgNH7k59iNn,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,80,1,2,60,1,1,,,,,,,,,,,,,70,1,1,70,1,1,60,1,4,60,3,3,70,1,4,50,1,3,60,1,2,Early,0
R_C1tiHNHx25E6plT,Yes,1,70,1,1,70,1,1,70,1,1,60,1,1,50,1,1,40,2,2,80,1,1,70,1,1,70,1,1,90,2,1,40,1,1,70,1,4,80,5,4,10,1,3,80,1,3,Early,0
R_26aPYhKfDpYpvmt,Yes,1,30,1,1,20,1,1,30,1,1,60,4,4,10,1,1,10,1,1,20,1,1,40,1,1,20,1,1,10,1,1,0,1,3,10,4,4,10,4,4,0,1,3,20,5,4,Early,0
R_Z9pxMIJrQiQETdv,Yes,1,100,5,2,100,4,3,30,1,1,100,5,2,60,1,1,50,1,1,80,1,1,100,3,2,30,2,4,20,1,1,30,3,4,20,3,4,10,3,4,30,1,3,70,5,4,Early,0
R_2sYMFS3CYK4JiFi,Yes,1,90,3,,,,,,,,90,5,3,20,1,1,,,,,1,2,70,1,1,80,1,1,10,1,1,20,3,3,30,2,2,,,,30,3,3,90,3,3,Early,1
R_1E74guSj8RhgXdN,Yes,1,50,2,2,80,1,1,70,3,2,50,1,2,10,1,1,30,1,1,80,3,3,30,1,2,10,1,1,,,,20,1,2,30,1,3,10,1,4,30,3,3,20,3,2,Early,0
R_2xyZYFYMo02bQZH,Yes,1,40,1,,30,1,,40,1,,20,1,1,50,1,,20,1,1,20,1,,30,1,2,50,1,2,10,1,1,20,1,,20,1,2,20,1,3,30,1,3,50,3,3,Early,1
R_3lulFpmI8oE0JQV,Yes,1,10,1,2,10,1,1,10,1,1,20,2,2,0,1,1,10,1,1,10,1,1,30,1,2,10,1,1,10,1,1,90,5,4,20,1,3,10,1,3,10,3,3,40,4,4,Early,1
R_1IyGDe3N51ppDpJ,Yes,1,80,3,2,,,,70,3,2,90,3,2,10,1,1,10,1,1,30,1,2,30,1,1,80,3,1,10,1,1,20,1,3,20,1,3,20,1,3,10,2,3,40,5,4,Early,1
R_3imSUeqjMAjFx78,Yes,1,90,1,1,80,1,1,80,4,1,80,3,1,30,1,1,50,1,1,30,1,2,70,1,2,50,1,1,20,1,1,20,3,2,30,1,3,30,3,3,10,1,3,70,4,4,Early,1
R_1NVBZ2Amc59mcgh,Yes,1,30,1,1,90,1,1,20,1,1,80,1,1,10,1,1,50,1,1,10,1,1,60,1,1,40,2,1,10,1,1,10,4,4,10,3,3,10,4,4,0,1,3,,,,Early,1
R_TbXlpjzSUSF9PBn,Yes,1,50,1,2,40,1,2,20,1,1,60,2,2,40,1,1,30,1,1,10,1,1,60,1,2,50,1,1,20,1,1,10,1,3,20,1,3,10,1,3,20,1,3,20,1,1,Early,1
R_12Dtbi2EpVeT8yM,Yes,1,40,3,3,50,1,2,10,1,1,50,3,2,50,3,3,70,4,3,10,1,2,10,1,2,10,1,1,10,1,1,20,3,3,10,1,2,10,1,2,0,1,3,30,3,2,Early,1
R_yVBEH4GxfZHI0XD,Yes,1,10,1,4,50,4,3,80,5,4,20,4,3,50,3,2,80,1,2,60,4,3,60,4,3,10,3,2,40,1,1,10,1,2,0,1,2,60,1,1,40,1,3,60,5,3,Early,0
R_pnJZJN5zTkOQe3L,Yes,1,60,1,1,90,5,3,70,1,1,70,3,1,70,2,1,50,1,1,40,1,1,40,2,2,40,1,4,20,1,1,0,1,4,10,4,4,10,2,4,10,2,3,70,1,2,Early,1
R_2fAQ3AQ7XjrPgMt,Yes,1,60,3,2,30,,2,40,3,2,80,3,2,30,,2,20,1,1,20,1,1,30,1,1,20,1,1,10,1,1,10,1,3,30,1,3,10,3,4,10,1,3,30,3,3,Early,1
R_3gClI3nT3k98Hvz,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,50,1,1,30,1,1,,,,,,,,,,,,,40,1,1,40,1,1,10,1,3,30,4,3,40,3,3,40,1,3,70,5,4,Early,0
R_336XnBHn6SHbr09,Yes,1,10,1,3,50,1,1,40,4,2,40,1,1,40,1,1,40,1,1,40,1,1,40,1,1,40,1,1,40,1,1,0,2,3,20,1,3,10,2,4,,,,10,2,4,Early,1
R_2YstXB2uAevLsuC,Yes,1,40,1,2,40,1,2,70,3,3,50,1,2,60,1,2,0,1,1,30,1,2,40,1,1,50,1,1,40,1,2,40,1,2,50,1,3,60,1,3,50,1,2,40,1,3,Early,1
R_UShQ7VboAnKh3MZ,Yes,1,40,1,1,50,1,1,90,4,4,40,3,2,60,1,2,60,1,1,30,1,2,60,1,1,40,1,1,60,3,3,50,4,4,10,1,2,20,1,3,20,1,3,60,4,4,Early,1
R_1IKtE3Hn0kBeSvm,Yes,1,70,1,2,90,3,2,90,2,2,90,3,2,80,1,1,70,1,2,50,1,2,50,1,1,90,1,1,20,1,1,10,1,3,10,1,3,30,2,3,80,2,3,80,2,3,Early,1
R_2arSnyQo1sAqCVR,Yes,1,50,3,2,20,1,1,80,4,4,80,3,2,10,1,1,80,3,2,70,4,4,80,3,2,30,1,1,30,2,1,100,5,4,70,1,3,30,1,3,10,1,3,70,4,3,Early,1
R_1lt69y7Ol92oEdH,Yes,1,,,,,,,,,,90,3,,10,1,1,10,1,1,20,1,1,20,1,1,40,1,1,10,1,1,10,1,3,20,3,2,30,3,4,30,2,3,50,5,4,Early,1
R_1pYibQxVXJCNkL4,Yes,1,60,2,1,60,1,1,70,2,1,70,3,2,60,1,1,60,1,1,60,1,1,50,1,1,60,1,1,40,1,1,20,1,4,20,1,3,30,3,3,20,1,3,40,5,4,Early,1
R_2TZesjW6Wr2aZEL,Yes,1,50,1,1,30,1,2,40,1,1,60,3,1,30,1,1,30,1,1,30,1,1,40,1,2,60,1,1,10,1,1,10,3,4,20,4,3,10,3,3,20,3,3,40,3,3,Early,1
R_21HWHjg9UZDZgZb,Yes,1,50,3,3,30,3,2,70,3,3,100,5,4,10,1,1,50,3,2,30,1,2,50,3,3,20,1,1,10,1,1,20,3,3,30,4,4,50,5,4,80,1,4,70,5,4,Early,1
R_2dtMUpJmD41wO6u,Yes,1,,,,80,1,1,50,1,2,80,3,3,,1,1,30,1,2,70,3,3,80,3,3,80,1,1,,1,1,20,1,3,20,1,3,50,1,4,10,1,3,50,1,3,Early,1
R_1ihqdPVzqeyTqlp,Yes,1,0,1,4,20,1,1,10,3,4,20,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,1,4,10,1,4,0,1,4,10,5,4,Early,0
R_OD28OZ1blDpOCJ3,Yes,1,100,3,2,20,1,2,100,3,3,100,2,2,90,2,2,70,1,2,70,1,2,70,1,2,20,1,1,20,1,2,40,3,4,30,1,3,50,1,3,10,2,4,40,3,2,Early,1
R_5AWaxw5LrfxW7vz,Yes,1,,1,1,70,3,2,90,3,1,,,,,1,1,,1,1,0,1,2,70,3,3,,1,1,,1,1,10,1,3,10,2,3,10,1,3,40,3,3,60,5,4,Early,1
R_3Mu0ks5OD3MsXxE,Yes,1,30,1,2,50,1,2,70,3,2,50,3,2,50,1,1,50,1,2,10,1,1,50,1,1,20,1,1,10,1,1,10,4,3,20,4,4,20,3,3,10,1,3,30,1,1,Early,1
R_8IkxP8edRCBjzS9,Yes,1,60,1,1,60,1,2,70,1,1,90,1,2,30,1,1,60,1,1,30,1,1,60,1,1,80,1,3,60,1,1,40,4,4,10,1,1,10,1,3,10,1,3,10,1,2,Early,1
R_z29dKZM9PxkmiGZ,Yes,1,90,3,2,80,3,2,70,3,1,100,5,2,30,1,1,40,1,1,30,1,2,70,3,1,60,1,4,50,1,2,20,3,3,10,1,4,60,3,3,10,1,3,60,5,4,Early,0
R_3ptiTWem14Tow4S,Yes,1,70,1,1,70,1,1,70,5,4,70,1,1,80,1,1,60,1,1,100,4,4,70,1,1,50,1,1,50,2,2,50,3,3,50,5,4,60,5,4,70,5,4,50,3,4,Early,0
R_uy7d5r98iDxKx2x,Yes,1,80,3,2,80,4,3,20,1,1,10,1,1,90,4,3,50,1,3,70,3,3,50,3,3,60,2,1,10,1,1,20,1,4,50,1,3,30,3,3,20,3,3,90,4,4,Early,1
R_0CKI9ddKqgR9bDX,Yes,1,60,1,1,40,1,1,80,3,1,90,4,2,20,1,1,40,1,2,10,1,2,50,3,2,50,3,2,20,1,1,10,3,3,30,3,3,50,3,4,30,4,3,80,5,4,Early,1
R_u3SsmfOBAvBxe13,Yes,1,70,1,1,50,4,3,30,1,1,90,5,4,10,1,1,20,1,1,0,1,1,20,1,2,30,1,1,10,1,1,20,1,4,10,1,4,20,3,4,10,1,3,80,4,4,Early,1
R_3HLClFhKbRSflln,Yes,1,50,1,1,10,1,1,10,2,1,20,1,2,10,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,1,3,10,1,3,20,1,3,30,1,3,30,4,4,Early,1
R_DODRigW2AkiHZlf,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,70,3,4,90,1,2,,,,,,,,,,,,,20,1,1,0,1,1,50,3,3,30,1,2,40,1,3,30,1,2,70,2,4,Early,1
R_2QR1lJ09iZRx8Rc,Yes,1,60,3,2,50,3,2,0,1,1,,1,1,,1,1,20,1,1,,,,,1,1,,1,1,,1,1,,1,,20,1,3,30,1,3,70,3,3,,1,3,Early,1
R_3EXqsn4SofkP514,Yes,1,50,1,1,90,2,1,70,2,1,80,3,2,20,1,1,10,1,1,30,1,2,50,1,,20,1,1,10,1,1,100,5,4,80,1,4,50,1,4,10,1,3,100,3,3,Early,0
R_3huOrHCQM2wsC1u,Yes,1,50,3,2,50,3,3,20,1,1,70,3,2,20,1,1,20,1,2,20,1,2,60,3,2,20,1,1,80,4,3,10,1,3,10,2,3,10,2,3,10,2,3,20,3,3,Early,1
R_Tow7CPsv2nnCUpj,Yes,1,100,3,1,30,1,2,60,1,1,90,3,2,30,1,1,50,1,1,,1,1,50,1,1,90,1,1,10,1,1,10,1,3,10,1,3,20,1,3,20,1,3,70,2,3,Early,1
R_2TI93BRs78SCmgv,Yes,1,80,3,2,90,3,2,60,1,1,90,3,2,90,3,1,20,1,1,70,1,2,80,2,2,50,1,1,10,1,1,30,3,3,70,3,4,20,3,4,10,1,3,60,3,4,Early,1
R_2uWIrrC1CycZp5K,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,30,3,3,30,1,2,,,,,,,,,,,,,60,1,2,30,1,2,70,3,3,30,1,,30,1,3,60,1,2,20,1,1,Early,0
R_2uwFuz0vZ9UjSG6,Yes,1,80,4,2,30,1,1,40,2,2,80,5,3,20,1,1,60,2,2,20,1,2,70,3,3,50,1,1,10,1,1,20,1,2,30,1,2,20,1,2,20,1,3,40,1,4,Early,0
R_2XckhWwsUxYSoHy,Yes,1,60,3,2,50,1,1,100,4,2,80,5,2,50,1,1,20,1,1,30,1,1,50,1,1,40,1,1,50,1,1,20,1,3,50,1,3,50,1,3,50,1,2,50,2,1,Early,1
R_1mrOID5QiNLkCG5,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,10,1,1,30,1,2,,,,,,,,,,,,,20,1,1,10,1,1,10,1,3,10,1,3,10,1,3,10,1,3,40,3,3,Early,1
R_125pyKpHPp81OpA,Yes,1,40,1,2,100,4,3,70,1,2,90,4,3,60,1,1,30,1,1,20,1,1,70,3,2,70,3,2,10,1,1,30,3,3,20,3,3,30,3,3,10,1,3,90,5,4,Early,1
R_2Cree88FrvYlBgp,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,30,1,2,30,1,1,,,,,,,,,,,,,30,2,1,10,1,1,20,5,4,50,1,2,70,2,3,70,1,3,80,1,4,Early,0
R_2rAe0iSggyLCwd8,Yes,1,100,4,2,100,3,2,50,1,2,70,3,2,50,1,2,50,3,2,30,1,2,80,3,2,80,3,2,30,1,2,10,4,3,20,4,3,20,3,4,20,3,3,50,4,4,Early,1
R_54Sh1cRcpGIS3SN,Yes,1,100,3,1,70,1,1,30,1,1,90,1,1,90,1,1,40,1,1,30,1,1,50,1,1,90,1,1,30,1,1,10,1,4,30,5,4,10,1,3,10,1,3,10,1,4,Early,1
R_2UXcxEwKJWi57wx,Yes,1,50,3,2,50,3,2,10,1,1,20,1,1,10,1,1,0,1,1,50,1,2,10,1,1,10,1,1,10,1,1,10,2,3,50,4,3,50,4,3,50,4,3,80,5,4,Early,1
R_DdjUAGGu8rSjl2F,Yes,1,50,3,3,100,5,3,80,3,3,20,1,1,20,1,1,30,1,3,30,1,2,20,1,2,50,1,2,30,1,2,10,1,2,10,1,2,30,1,3,10,1,3,40,3,3,Early,1
R_ZrFbXoqn2qiBSwh,Yes,1,10,2,1,0,1,3,10,4,3,0,1,2,10,1,3,10,2,3,20,2,4,0,,2,10,2,2,10,4,3,10,4,3,10,1,3,10,1,3,0,1,2,60,5,4,Early,0
R_2xIUu37YsJghxGa,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,20,1,1,70,1,3,,,,,,,,,,,,,70,1,1,10,1,1,10,1,2,10,1,3,10,1,3,40,1,3,20,1,4,Early,1
R_3rHgqnz7wOi98Yk,Yes,1,40,2,2,10,1,1,40,1,2,70,3,2,10,1,1,10,1,1,40,1,1,20,1,1,50,1,2,0,1,1,10,1,3,20,3,3,20,1,3,10,1,3,10,1,,Early,1
R_3e94hpuWiqNDTSL,Yes,1,30,3,1,20,1,1,40,1,1,40,1,2,20,1,1,20,1,1,30,1,1,30,1,1,90,3,1,10,1,1,30,4,4,10,1,4,10,1,3,20,1,3,50,5,4,Early,1
R_RXpRTlqVaRMqdYl,Yes,1,90,2,2,80,1,2,20,3,4,70,3,3,100,3,3,80,1,2,50,3,3,80,1,2,90,1,1,80,1,1,90,3,3,10,2,4,10,2,4,70,1,2,70,1,4,Early,1
R_0kSBNh90I32owwx,Yes,1,60,2,1,50,1,1,70,1,1,80,3,1,0,1,1,10,1,1,20,1,1,30,1,,60,3,1,0,1,1,70,4,4,70,3,4,90,5,4,20,2,3,90,4,,Early,0
R_2D8M7KqQx19oSpT,Yes,1,70,2,1,80,3,2,20,1,1,100,5,4,40,1,2,40,1,1,50,1,2,80,3,3,70,1,1,20,1,1,0,1,1,20,1,3,50,1,3,30,3,3,100,5,4,Early,0
R_1ffpdDX9s2CtfVX,Yes,1,20,1,2,80,3,2,40,1,1,50,1,2,30,1,1,40,1,1,10,1,3,20,1,2,70,1,2,20,1,1,30,1,4,10,1,3,50,4,3,20,1,3,40,5,4,Early,0
R_3oTOqP4u1LxeqZG,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,10,1,1,90,3,2,,,,,,,,,,,,,80,3,1,10,1,1,,,,20,1,3,10,1,3,20,1,3,30,1,3,Early,1
R_1k1zVOt4kBTkcQC,Yes,1,30,1,1,20,1,1,10,1,1,20,1,1,20,3,1,20,1,1,30,1,2,20,1,2,20,1,1,0,1,1,0,1,3,0,1,3,0,3,3,0,1,2,30,5,4,Early,1
R_TnE9q0utzXD5Pmp,Yes,1,90,3,2,90,3,2,80,1,1,100,5,4,10,1,1,30,1,2,50,1,2,100,3,2,30,1,1,10,1,1,20,3,3,30,3,3,50,3,3,10,1,3,90,4,3,Early,0
R_2wuaz8ZmsMEvyXv,Yes,1,100,4,,40,,,40,1,1,90,4,,40,3,1,50,3,2,70,3,2,60,3,3,20,1,1,0,1,1,30,3,3,30,3,3,10,1,3,10,1,,30,1,3,Early,1
R_33sthhXxcpg6hZT,Yes,1,100,4,2,20,1,1,50,1,1,80,3,2,20,1,1,20,1,1,20,1,1,20,1,1,20,1,1,0,1,1,20,1,3,30,1,3,50,3,3,20,1,3,50,3,3,Early,1
R_1F3WZmdOEWQEV5r,Yes,1,70,2,2,50,2,2,30,1,1,60,2,2,50,1,1,30,1,1,40,1,2,50,1,2,30,1,1,30,1,1,60,3,3,30,1,3,50,1,2,30,1,3,50,3,3,Early,1
R_2f9HieA2SLMrPXn,Yes,1,50,1,1,70,1,1,30,1,1,60,1,1,30,1,1,50,1,1,30,1,1,40,1,1,60,3,2,20,1,2,10,1,3,40,3,4,20,4,4,20,3,3,50,5,4,Early,1
R_XZMCaAgzOHj4kql,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,50,5,3,,,,,,,,,,,,,,,,70,1,1,,,,,,,50,1,2,20,3,4,30,2,3,30,4,4,Early,1
R_2dT0xROLWbDYmx3,Yes,1,100,3,3,100,3,4,30,1,1,80,3,2,20,3,2,,,,10,1,2,20,1,1,70,2,2,10,1,1,10,1,3,20,2,3,50,3,3,,,,60,3,2,Early,1
R_2Eh3EirBS1yNTyP,Yes,1,100,5,2,60,1,2,70,4,3,80,3,3,10,1,1,10,1,1,70,1,2,70,1,2,20,1,1,10,1,1,50,3,3,80,3,3,60,3,3,10,1,3,70,4,4,Early,1
R_2Vr5EhI763tkdx3,Yes,1,,,,80,2,2,80,1,1,50,3,3,90,5,3,30,1,1,10,1,3,100,3,2,30,1,1,30,1,1,10,1,1,80,3,4,60,3,3,60,2,3,60,2,3,Early,0
R_1lrAjZA3gF4oLly,Yes,1,,,,,,,,,,70,3,2,50,1,1,,,,,,,30,1,2,40,1,1,,,,,,,50,1,4,40,1,4,30,1,3,,,,Early,1
R_3IYa5bB55gD5Pjj,Yes,1,90,2,2,80,1,2,40,1,1,80,3,2,20,1,1,30,1,1,10,1,1,30,1,1,80,2,1,10,1,1,30,1,4,30,1,3,50,1,4,10,1,3,50,5,4,Early,1
R_1q9yFYkTgSiRh2K,Yes,1,30,1,4,50,3,3,20,3,3,30,3,3,30,1,2,50,2,2,50,2,3,60,4,3,50,1,2,20,1,3,40,5,3,30,1,3,30,1,3,10,1,3,40,4,4,Early,0
R_2BgMCxmvxBn78kg,Yes,1,,,,0,1,1,30,1,1,80,,,0,1,1,60,1,1,20,1,1,100,4,3,40,1,1,0,1,1,70,5,4,40,3,4,30,3,4,0,1,3,30,1,4,Early,0
R_3qR8LPt74tWwUzP,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,50,4,3,70,1,1,,,,,,,,,,,,,30,1,1,50,5,4,30,4,3,10,1,2,10,3,3,40,1,3,30,3,4,Early,0
R_1jGNmg1Kyt7izAq,Yes,1,100,3,1,100,3,1,80,3,1,100,4,2,70,2,1,50,1,2,50,1,1,90,3,1,100,3,1,30,1,1,10,1,4,10,3,4,10,4,4,10,3,3,20,4,4,Early,0
R_1ls2F9yUciu70bB,Yes,1,100,2,4,100,3,2,100,2,1,100,2,3,0,1,1,0,1,1,0,1,3,100,2,4,80,1,2,60,1,2,50,2,4,40,1,3,40,1,4,0,1,3,50,1,4,Early,1
R_sUzJtl4g0Gpg6mB,Yes,1,80,3,2,90,3,1,60,1,1,80,3,2,50,1,1,50,1,1,30,1,1,50,1,1,50,1,1,30,1,1,20,2,3,30,4,4,30,2,3,30,1,3,30,3,3,Early,1
R_1DoSmJLcRxS61kA,Yes,1,70,2,2,70,3,2,60,1,1,70,3,2,60,3,3,40,1,1,50,1,2,30,1,1,60,1,1,10,1,1,60,2,,60,1,3,40,2,3,10,1,3,40,2,4,Early,0
R_33CqVGIsLNNgd2S,Yes,1,80,3,2,0,1,1,80,4,4,100,4,4,50,3,2,10,1,1,40,1,2,60,3,3,50,1,1,10,1,1,0,1,1,10,3,3,10,1,3,10,1,3,,,,Early,1
R_PBaEi9ft7lW1PKV,Yes,1,80,4,3,,,,60,3,1,90,4,1,20,1,1,30,1,2,50,1,1,70,3,3,60,3,1,20,1,1,20,3,4,20,3,3,10,4,4,10,1,3,30,5,4,Early,1
R_21FCpJL3DU0gwav,Yes,1,70,3,2,50,1,2,60,3,2,60,3,2,80,1,2,60,1,2,70,3,3,80,1,2,80,2,1,50,1,1,40,3,2,30,2,3,30,3,3,70,1,3,80,4,4,Early,0
R_eOEKB9V80KCGYSd,Yes,1,50,3,2,30,3,2,40,1,2,90,5,4,10,1,1,20,3,2,10,1,2,30,3,2,20,1,1,20,1,1,,,,10,2,3,20,2,3,10,2,3,50,2,1,Early,1
R_3n2cEubd0XWFFgu,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,20,1,1,40,1,4,,,,,,,,,,,,,20,1,1,20,1,1,50,1,3,30,1,2,30,1,3,20,1,2,40,1,3,Early,0
R_2Cm5noHGFN286tB,Yes,1,40,1,1,70,1,1,50,1,1,70,4,3,30,1,1,50,1,1,50,3,2,70,3,2,50,3,2,20,1,1,70,3,2,30,3,2,30,3,3,50,3,2,50,3,3,Early,0
R_3ho6ZFym1KpOira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early,1
R_2rTEyc82uqtQK0V,Yes,1,20,1,1,60,1,1,50,1,1,30,1,1,80,3,2,10,1,1,10,1,1,60,1,1,40,1,1,10,1,1,0,3,3,20,1,4,30,4,4,30,1,3,20,4,4,Early,0
R_1eJBySjLtZlpfQh,Yes,1,30,1,1,50,1,1,80,5,4,100,5,3,10,1,1,30,1,1,20,1,1,10,1,1,50,1,1,0,1,1,10,1,3,10,1,3,10,1,3,50,4,3,40,3,2,Early,1
R_27Da6EPqmJNSFsr,Yes,1,90,4,2,60,2,1,60,1,1,90,4,,90,1,1,30,1,1,70,1,2,70,2,2,20,2,1,40,1,1,30,2,3,50,3,3,20,1,3,40,1,3,50,2,3,Early,0
R_1H1CUedasBWSY03,Yes,1,70,4,2,40,4,2,40,3,2,40,3,2,20,1,1,30,3,2,30,1,2,40,3,2,30,2,1,20,1,1,20,2,2,30,1,3,20,1,3,20,1,3,30,3,3,Early,0
R_3PTRZ3AWQclZeAx,Yes,1,30,1,1,10,1,2,20,1,2,10,1,1,80,5,3,20,1,2,20,1,2,20,1,2,50,3,2,20,1,1,20,3,3,30,3,3,20,3,3,10,1,3,30,1,2,Early,1
R_3dLHhwXRpt0JDW8,Yes,1,50,1,3,50,1,2,10,1,1,40,1,2,30,1,1,50,2,3,30,1,3,30,1,2,30,1,1,30,1,1,20,1,2,20,1,3,20,1,3,20,1,2,20,1,3,Early,1
R_8CVJbwMwitY2ceZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early,1
R_1BS189bhvIR0rSu,Yes,1,90,4,2,50,3,2,30,3,2,50,4,4,80,3,2,50,1,2,30,1,2,70,3,2,30,1,1,40,1,2,40,4,4,30,2,3,30,2,3,30,1,3,40,5,4,Early,1
R_b1MltW3U8EC2wmZ,Yes,1,70,1,1,60,1,1,70,1,1,30,1,3,80,1,1,80,1,2,80,1,2,80,1,2,80,1,1,70,1,1,20,5,4,30,1,3,30,1,4,40,1,4,60,3,2,Early,0
R_1DD3IkjDrtV1KJX,Yes,1,70,3,2,80,3,1,80,1,1,80,1,1,10,1,1,70,3,2,80,3,2,80,3,2,30,1,1,20,1,1,20,1,2,10,1,4,50,3,4,10,1,4,50,1,1,Early,1
R_a32o5Aeu9ae8Uk9,Yes,1,70,3,2,80,2,2,50,3,2,100,4,3,90,3,3,70,3,2,50,3,3,80,3,3,80,3,2,40,1,2,20,1,3,30,1,3,30,1,3,20,1,3,20,1,2,Early,1
R_3l4MPxrLCPx1IJz,Yes,1,100,4,3,30,1,1,80,3,2,100,5,4,60,1,1,70,3,2,80,3,2,50,1,2,90,3,2,30,1,1,10,1,3,40,1,3,60,1,3,80,1,1,60,5,4,Early,0
R_3jeAfkWSIrXRXXH,Yes,1,60,1,1,100,3,3,70,2,1,100,3,2,50,1,1,60,1,1,30,1,1,60,1,1,30,1,1,20,1,1,10,2,3,10,1,3,10,1,3,10,1,3,10,3,3,Early,1
R_1E5sNZEvRrehpIk,Yes,1,40,3,3,50,3,2,80,4,3,20,3,2,10,1,1,0,1,1,60,3,3,20,1,2,60,4,3,30,1,1,40,4,3,20,3,3,50,4,4,60,4,3,50,4,4,Early,1
R_2Cg4aiGAYAHzlfs,Yes,1,50,1,1,30,1,1,20,3,4,60,3,2,0,1,1,20,1,1,40,1,2,30,1,1,30,1,1,10,1,1,0,1,1,20,1,3,30,3,3,0,1,3,20,1,3,Early,1
R_z7P2vmnqiPNWKOJ,Yes,1,80,3,2,50,3,2,40,1,1,80,3,2,40,1,1,50,1,2,30,1,1,80,1,1,50,1,1,20,1,1,10,1,2,20,3,3,40,4,3,20,3,3,60,4,4,Early,1
R_RKaNRy2k7qXDfd7,Yes,1,90,3,2,100,3,4,80,3,3,90,3,2,70,2,1,90,5,3,20,1,2,70,1,3,60,2,1,60,3,2,10,1,2,20,1,1,10,1,1,0,1,1,40,1,2,Early,0
R_1hME9EzRlyDlCsY,Yes,1,100,4,3,100,4,3,90,1,1,90,5,4,50,1,1,50,3,2,30,1,3,100,4,4,80,3,1,40,1,1,0,1,3,30,1,4,30,2,3,20,1,4,30,1,4,Early,1
R_ywIYQnN4kVARp29,Yes,1,10,1,1,10,1,1,60,3,2,70,4,3,90,5,4,10,1,1,20,1,1,60,3,3,10,1,1,10,1,1,10,1,2,20,1,2,20,3,3,10,1,2,70,5,4,Early,1
R_3dKESzSPJ53y0gY,Yes,1,30,1,1,30,1,1,50,5,4,30,1,1,70,1,2,30,1,1,30,1,1,30,1,1,50,1,1,30,1,1,50,4,4,30,3,4,30,3,4,30,2,3,50,1,4,Early,1
R_25t4OhxZsIriZnp,Yes,1,80,3,2,70,1,3,70,2,2,70,2,2,60,1,2,70,1,3,40,1,1,70,1,1,70,1,2,60,1,2,30,1,3,40,1,3,30,1,3,30,1,3,30,1,2,Early,1
R_3jYFx9HfleJOrn1,Yes,1,90,4,2,50,1,1,70,1,1,70,3,2,60,1,1,30,1,1,40,1,1,80,3,2,70,3,2,40,1,1,30,1,3,20,1,3,40,1,4,30,1,2,50,4,4,Early,1
R_29gfKzzWf9Gf5SG,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,70,1,1,50,1,1,,,,,,,,,,,,,70,1,1,60,1,1,90,1,1,20,4,4,20,4,4,60,3,3,50,1,3,Early,0
R_3QQ9fhKrfIBfSUG,Yes,1,90,4,2,90,2,,70,3,3,50,1,,30,1,1,20,1,2,20,1,,70,3,3,60,1,1,60,4,3,20,1,3,80,4,4,50,4,3,20,2,3,60,4,4,Early,0
