"ID","A1_1","A1_2","B1","C1_1","C1_2","C1_3","A2_1","A2_2","B2","C2_1","C2_2","C2_3","A3_1","A3_2","B3","C3_1","C3_2","C3_3","A4_1","A4_2","B4","C4_1","C4_2","C4_3","A5_1","A5_2","B5","C5_1","C5_2","C5_3","A6_1","A6_2","B6","C6_1","C6_2","C6_3","A7_1","A7_2","B7","C7_1","C7_2","C7_3","A8_1","A8_2","B8","C8_1","C8_2","C8_3","A9_1","A9_2","B9","C9_1","C9_2","C9_3","A10_1","A10_2","B10","C10_1","C10_2","C10_3","doubt_other_inst","doubt_same_inst","doubt_students","doubt_yourself","main_area","area_other","do_research","funding","funding_5_years","observation","experiment","modelling","survey","method_other","method_other_descript","clinic","lab","field","location_other","location_other_descript","institution_priority","institution_type","position","position_other","higher_degree","sex","skin_colour","age","brazilian","other_nation","other_nation_descript","country_higher_degree","suggestions"
159,80,79,1,3,"Para mostrar os propósitos da pesquisa e sua fidedignidade.",NA,90,90,1,3,"Porque nem sempre é possível citar todas as informações de uma pesquisa, especialmente em artigos. É para isso que referenciamos os estudos e muitas vezes fazemos menção ou registramos explicações em notas de rodapé, por exemplo.",NA,35,34,2,NA,NA,NA,40,39,2,NA,NA,NA,15,13,2,NA,NA,NA,42,42,2,NA,NA,NA,6,6,2,NA,NA,NA,43,42,2,NA,NA,NA,26,24,2,NA,NA,NA,23,23,2,NA,NA,NA,"Once or twice","Never","Once or twice","Never","School and Education",NA,"No","No","Yes","No","No","No","No",1,"Documental","No","No","No","Yes","Institutos Federais","Teaching","Private","other",NA,"Masters","Female","White",35,"Yes","No",NA,"Brasil","Nas primeiras questões, senti vontade de fazer comentários (quando respondia nunca, por exemplo), mas não havia espaço."
160,40,1,2,NA,NA,NA,20,90,2,NA,NA,NA,25,90,2,NA,NA,NA,20,1,2,NA,NA,NA,15,20,2,NA,NA,NA,5,70,2,NA,NA,NA,5,0,2,NA,NA,NA,20,5,2,NA,NA,NA,40,15,2,NA,NA,NA,10,40,2,NA,NA,NA,"Often","Once or twice","Occasionally","Never","other","História da Psicologia","Yes","Yes","Yes","No","Yes","No","Yes",1,"Análise Documental","No","No","Yes","Yes","Biblioteca","Research","Public","Postdoc",NA,"Doctorate","Male","White",32,"Yes","No",NA,"Brasil","Estimar estas atitudes de pesquisa em forma de porcentagem é bastante aleatório. Seria mais eficiente a modalidade encontrada nesta página: nunca, uma vez ou outra, ocasionalmente, frequentemente."
165,50,83,2,NA,NA,NA,48,49,1,2,"Dependia do recorte ou do argumento que estava utilizando na construção do meu texto. Eventualmente, só precisava de um determinado recorte da investigação.",NA,61,62,1,2,"Dependia do recorte e do argumento que estava construindo.",NA,62,63,2,NA,NA,NA,70,70,1,3,"Para não colocar mais participantes em risco.",NA,17,17,2,NA,NA,NA,50,50,2,NA,NA,NA,70,70,1,2,NA,"Dependia do recorte e do argumento que estava construindo e como o dado  a mais  poderia ou não contribuir.",12,12,2,NA,NA,NA,11,12,2,NA,NA,NA,"Often","Occasionally","Occasionally","Once or twice","Health",NA,"Yes","No","No","No","No","No","No",1,"qualitativa, exploratória, descritiva.","Yes","No","No","No",NA,"Equal emphasis","Public","other","técnico administrativo ","Doctorate","Male","Parda",51,"Yes","No",NA,"Brasil",NA
166,85,51,1,3,NA,NA,50,12,2,NA,NA,NA,20,20,2,NA,NA,NA,56,6,2,NA,NA,NA,76,79,2,NA,NA,NA,9,51,2,NA,NA,NA,70,0,2,NA,NA,NA,92,6,2,NA,NA,NA,10,85,2,NA,NA,NA,59,0,2,NA,NA,NA,"Often","Often","Often","Once or twice","Clinical",NA,"Yes","No","Yes","No","Yes","No","No",0,NA,"Yes","No","Yes","No",NA,"Equal emphasis","Private","Postdoc",NA,"Doctorate","Male","White",38,"Yes","No",NA,"Brasil",NA
170,55,70,1,3,"Para mapear o nível de conhecimentos acerca do assunto a ser pesquisado, partir de resultados já alcançados e situar o estado da arte do assunto em questão.",NA,90,90,1,3,"as limitações impostas pelas revistas e restrições em termos de volume de informações e mesmo de tipos de metodologias mais ou menos aceitáveis nos periódicos cinetíficos muitas vezes exige este tipo de triagem das informações sobre os estudos.",NA,50,50,2,NA,NA,NA,80,50,2,NA,NA,NA,90,90,1,3,"saturação de dados",NA,50,3,2,NA,NA,NA,70,0,2,NA,NA,NA,80,3,2,NA,NA,NA,50,3,2,NA,NA,NA,20,3,2,NA,NA,NA,"Once or twice","Occasionally","Occasionally","Never","Mental Health",NA,"Yes","Yes","Yes","Yes","No","No","No",1,"qualitativa participativa ","No","No","Yes","No",NA,"Teaching","Public","Associate professor",NA,"Doctorate","Female","White",55,"Yes","No",NA,"brasil",NA
173,60,60,1,2,"Escrevo artigos de ações Que deram certos, mas também daquelas que foram diferentes das minhas expectativas. A modalidade de pesquisa em que atuo, por ser qualitativa, não é receita de bolo, então coisas que funcionam ou não, todas elas, se devem como elementos a serem pensados e problematizados para a pesquisa     ",NA,80,75,2,NA,NA,NA,60,60,2,NA,NA,NA,50,50,2,NA,NA,NA,60,60,2,NA,NA,NA,62,60,2,NA,NA,NA,62,60,2,NA,NA,NA,50,50,2,NA,NA,NA,56,56,2,NA,NA,NA,62,63,2,NA,NA,NA,"Often","Often","Often","Occasionally","Social",NA,"Yes","Yes","Yes","No","No","No","No",1,"pesquisa qualitativa","No","No","Yes","No",NA,"Teaching","Private","Adjunct professor",NA,"Doctorate","Female","White",40,"Yes","No",NA,"Brazil","Acho as perguntas muito voltadas para um modelo quantitativo de pesquisas, não abarcando a diversidade das investigações da área Psi. Dessa forma, as respostas de outras áreas que não atuam.nessa perspectiva acabam não tendo visibilidade"
176,40,20,2,NA,NA,NA,60,30,2,NA,NA,NA,40,25,2,NA,NA,NA,55,30,2,NA,NA,NA,35,15,2,NA,NA,NA,20,20,2,NA,NA,NA,1,1,2,NA,NA,NA,40,15,2,NA,NA,NA,60,15,2,NA,NA,NA,35,15,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","other","História da Psicologia","Yes","No","No","No","No","No","No",1,"estudos históricos e historiográficos","No","No","No","Yes","Arquivos e acervos","Teaching","Private","Adjunct professor",NA,"Doctorate","Female","White",44,"Yes","No",NA,"Brasil",NA
177,10,10,2,NA,NA,NA,66,61,2,NA,NA,NA,73,75,2,NA,NA,NA,79,72,2,NA,NA,NA,68,67,2,NA,NA,NA,72,68,2,NA,NA,NA,32,30,2,NA,NA,NA,48,42,2,NA,NA,NA,52,48,2,NA,NA,NA,69,67,2,NA,NA,NA,"Often","Often","Often","Never","Mental Health",NA,"Yes","No","No","No","No","No","No",1,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","other",NA,"Doctorate","Female","White",60,"Yes","No",NA,"brasil",NA
184,40,40,2,NA,NA,NA,40,40,2,NA,NA,NA,40,40,2,NA,NA,NA,15,16,2,NA,NA,NA,2,2,2,NA,NA,NA,20,20,2,NA,NA,NA,1,1,2,NA,NA,NA,30,30,2,NA,NA,NA,5,5,2,NA,NA,NA,5,5,2,NA,NA,NA,"Once or twice","Occasionally","Once or twice","Once or twice","Social",NA,"Yes","Yes","Yes","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Private","Assistant professor",NA,"Doctorate","Female","White",36,"Yes","No",NA,"Brasil","Prática frequente não abordada no questionário é incluir co-autoria como troca de favores."
188,40,10,2,NA,NA,NA,30,5,2,NA,NA,NA,20,5,2,NA,NA,NA,20,10,2,NA,NA,NA,10,1,2,NA,NA,NA,20,5,2,NA,NA,NA,2,0,2,NA,NA,NA,10,0,2,NA,NA,NA,30,5,1,2,"Foi relatado como uma significância marginal.",NA,10,1,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","Psychological Assessment",NA,"Yes","Yes","Yes","No","Yes","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","Adjunct professor",NA,"Doctorate","Male","White",61,"Yes","No",NA,"Brasil",NA
189,85,50,1,3,"Era um estudo exploratório e que não tinha hipóteses pré-definidas. Logo, reportamos apenas os resultados significativos. De todos os modos, após cursar matérias na pós, achei que deveria ter reportado todos eles e não apenas os significativos.",NA,95,95,1,3,"Muitos pesquisadores afirmam que em função do tamanho dos manuscritos é necessários cortar algumas informações, como essa. Vejo que as condições são menos detalhadas do que poderiam ser em função da não valorização dessa informação e também em função do tamanho das revistas. ",NA,95,30,2,NA,NA,NA,60,10,2,NA,NA,NA,40,5,2,NA,NA,NA,90,15,2,NA,NA,NA,50,0,2,NA,NA,NA,85,5,2,NA,NA,NA,95,50,2,NA,NA,NA,20,5,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Once or twice","Organizational and Work",NA,"Yes","Yes","Yes","No","No","Yes","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Public","Graduate student",NA,"Masters","Female","White",32,"Yes","No",NA,"Universidade de Coimbra","Apenas que os resultados sejam divulgados e acredito que serão. Obrigada. "
191,70,50,1,2,"Segmentação excessiva dos resultados e irrelevância dos resultados alternativos para o argumento final. Nem todas as afirmações de um texto precisam ou requerem análise dos casos inversos          ",NA,80,81,2,NA,NA,NA,100,50,2,NA,NA,NA,40,10,2,NA,NA,NA,50,31,2,NA,NA,NA,30,9,2,NA,NA,NA,61,3,2,NA,NA,NA,79,14,2,NA,NA,NA,85,13,2,NA,NA,NA,63,35,2,NA,NA,NA,"Often","Often","Often","Occasionally","Clinical",NA,"Yes","Yes","Yes","No","No","No","No",1,NA,"Yes","No","No","No",NA,"Research","Public","Emeritus professor",NA,"Doctorate","Male","White",51,"Yes","No",NA,"Inglaterra",NA
192,100,82,1,2,"Precisamos de verba para pesquisa e precisamos nos manter vinculado a um programa de pós-graduação, para isto precisamos publicar artigos, para isto os artigos precisam ser aceitos, para isto as revistas precisam aceitar, para isto os artigo precisam mostrar estudos que funcionaram. Logo, se os artigos não são publicados não temos verba nem estamos inseridos em programas de pós-graduação. Não deveria ser assim, mas é assim que funciona.",NA,54,23,2,NA,NA,NA,73,64,1,3,"O estudo envolvia muitas variáveis. No artigo publicado informei que havia outras variáveis que não foram reportadas, e que para este artigo tinha sido realizado um recorte. Outro motivo é o número de paginas dos artigos, é impossível reportar tudo em 20 paginas.",NA,98,92,1,3,"Pelos mesmos motivos anterriores,  precisamos  de resultados significativos. Por outro lado, dependendo da amostra esta pratica nao faz sentido. Imagina que estamos trabalhando com menores em conflito com a lei de uma cidade, e que há apenas 40 menores numa instituição, e conseguimos que todos participem, agora já não é amostra, é um censo, e se não foi significativo, paciência.",NA,69,34,2,NA,NA,NA,77,69,1,2,"Certa vez, encontramos um resultado não previsto que contribuiu para compreender melhor a teoria utilizada, mas que não tínhamos atentado para isto antes do estudo. ",NA,23,9,2,NA,NA,NA,63,44,2,1,NA,NA,97,92,1,3,"Arredondar tem este objetivo,  arredondar . Algumas revistas, inclusive, ja solicitaram que isto fosse feito. E 0.050 não difere tanto de 0.054",NA,78,72,1,2,NA,"No nosso caso, esperavamos que o sexo afetasse, mas não afetou, o que nos levou a procurar motivos na literatura, e encontramos e justificamos o porque poderia nao ter afetado.","Occasionally","Occasionally","Once or twice","Once or twice","Social",NA,"Yes","No","Yes","No","No","No","Yes",0,NA,"No","Yes","Yes","No",NA,"Equal emphasis","Public","Assistant professor",NA,"Doctorate","Male","White",33,"Yes","No",NA,"Portugal","Gostaria de saber o resultado da pesquisa. Parabens! Espero que as pessoas responda sem mentir"
195,100,97,1,3,"Porque se refere a estudos com financiamento e/ou de orientandos.",NA,8,8,2,NA,NA,NA,10,10,2,NA,NA,NA,10,10,2,NA,NA,NA,5,5,2,NA,NA,NA,15,15,2,NA,NA,NA,3,3,2,NA,NA,NA,15,15,1,3,NA,NA,10,10,2,NA,NA,NA,10,10,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","Development",NA,"Yes","Yes","Yes","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","Adjunct professor",NA,"Doctorate","Female","White",36,"Yes","No",NA,"Brasil","ótimo estudo. parabéns."
199,70,50,1,2,NA,NA,69,81,1,2,NA,NA,40,36,2,NA,NA,NA,13,8,2,NA,NA,NA,3,2,2,NA,NA,NA,50,51,2,NA,NA,NA,0,0,2,NA,NA,NA,0,0,2,NA,NA,NA,21,22,2,NA,NA,NA,0,0,2,NA,NA,NA,"Once or twice","Once or twice","Occasionally","Never","Clinical",NA,"Yes","Yes","Yes","No","Yes","No","No",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","Postdoc",NA,"Doctorate","Male","White",49,"Yes","No",NA,"Brasil",NA
201,32,96,2,NA,NA,NA,83,55,1,3,"A medida foi tomada devido ao fato de as revistas científicas não interessadas nos bastidores e dificuldades do processo de pesquisa. A decisão não prejudica os resultados, mas se essas informações estivessem presentes poderiam guiar outros pesquisadores da área sobre dificuldades no processo de pesquisa.",NA,19,85,2,NA,NA,NA,15,94,2,NA,NA,NA,14,93,2,NA,NA,NA,13,11,2,NA,NA,NA,13,0,2,NA,NA,NA,77,56,2,NA,NA,NA,87,24,2,NA,NA,NA,22,10,2,NA,NA,NA,"Occasionally","Never","Occasionally","Never","Mental Health",NA,"Yes","No","No","No","Yes","No","No",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","other","pesquisador","Doctorate","Female","White",32,"Yes","No",NA,"Brasil","Pedir justificativa para respostas negativas e não somente para as positivas."
208,10,10,2,3,"Discuto a importância da psicologia na saúde coletiva, o que carece de novas contribuições",NA,20,20,2,3,"A limitação de revistas que discutam pesquisas qualitativas no campo da saúde coletiva faz com que as escritas sejam cada vez mais engessadas ",NA,20,20,2,NA,NA,NA,20,21,2,NA,NA,NA,26,26,2,NA,NA,NA,10,25,2,NA,NA,NA,10,10,2,NA,NA,NA,10,10,2,NA,NA,NA,10,10,2,NA,NA,NA,6,5,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","Health",NA,"Yes","No","Yes","No","No","No","No",1,"qualitativa","No","No","Yes","No",NA,"Equal emphasis","Private","Assistant professor",NA,"Doctorate","Female","White",46,"Yes","No",NA,"Brasil",NA
214,75,75,1,3,"Porque os resultados encontrados iam ao encontro dos pressupostos teóricos e de outros achados sobre a temática.",NA,40,40,1,2,NA,NA,70,70,1,2,NA,NA,30,30,2,NA,NA,NA,60,60,2,NA,NA,NA,45,45,2,NA,NA,NA,30,30,2,NA,NA,NA,40,40,2,NA,NA,NA,30,30,2,NA,NA,NA,20,20,2,NA,NA,NA,"Once or twice","Never","Once or twice","Never","Organizational and Work",NA,"Yes","No","No","No","No","Yes","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Private","Postdoc",NA,"Doctorate","Female","White",37,"Yes","No",NA,"Brasil",NA
218,70,25,2,NA,NA,NA,30,50,1,3,"Existem pequenas modificações de procedimento que variam de participante a participante e que foram consideradas irrelevantes para os resultados obtidos.",NA,25,50,2,NA,NA,NA,70,30,2,NA,NA,NA,70,60,2,NA,NA,NA,30,31,2,NA,NA,NA,25,1,2,NA,NA,NA,40,20,2,NA,NA,NA,50,50,2,NA,NA,NA,50,30,1,2,NA,"Porque, nos casos em que isso ocorreu (e a variável, nesses casos, foi nível socioeconômico), não havia evidências nos resultados de que essa variável era relevante, da mesma forma como não havia evidências de que não eram.","Occasionally","Once or twice","Once or twice","Once or twice","Behavior Analysis",NA,"Yes","Yes","Yes","Yes","Yes","No","No",0,NA,"No","Yes","Yes","No",NA,"Research","Public","Adjunct professor",NA,"Doctorate","Female","White",45,"Yes","No",NA,"Brasil",NA
220,85,40,1,2,"Na pesquisa, uma das escalas utilizadas foi adaptada de forma ruim, logo não possibilitava respostas compreensíveis. Desse modo, excluímos do relato publicado os resultados concernentes a essa escala, tendo em vista que a falha havia sido metodológica.",NA,80,80,1,2,"Não há espaço suficiente para esse tipo de relato, considerando a falta de interesse das revistas e o tipo de conteúdo que priorizam. ",NA,85,80,1,1,NA,"Pois havia uma falha na construção do modelo teórico, e isso não foi considerado na escrita do relato.",95,87,2,NA,NA,NA,89,89,2,NA,NA,NA,90,81,1,1,NA,"Porque há uma expectativa dentro do campo científico de que os resultados, para serem publicáveis, precisam ser previstos. A refutação da hipótese não é bem vista e terá pouca chances de ser publicada.",70,65,2,NA,NA,NA,85,81,1,1,"Cedemos ao fazer típico desse padrão de investigação.",NA,96,93,1,1,NA,"Cedemos ao fazer típico desse padrão de investigação.",96,93,1,1,"Cedemos ao fazer típico desse padrão de investigação. E contamos com a literatura igualmente vaga para justificar.",NA,"Occasionally","Once or twice","Occasionally","Occasionally","Enviromental",NA,"Yes","No","Yes","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","Adjunct professor",NA,"Doctorate","Female","Parda",31,"Yes","No",NA,"Brasil","Acho válido ressaltar que, assim como no meu caso, pesquisadoras/es estão construindo suas trajetórias e revendo seus posicionamentos diante do fazer investigativo. Embora tenha desenvolvido algumas das práticas levantadas nesta pesquisa, atualmente vejo com bastante criticidade tais práticas. É necessário considerar, ainda, a cristalização de práticas científicas que foram constituídas historicamente. Aguardo a publicação dos resultados dessa investigação (apostando que ela não incorrerá em nenhuma das práticas mencionadas nas questões).  "
221,65,25,2,NA,NA,NA,80,50,2,NA,NA,NA,40,10,2,NA,NA,NA,30,3,2,NA,NA,NA,60,50,2,NA,NA,NA,90,5,1,2,"Inexperiência do pesquisador.",NA,10,1,2,NA,NA,NA,60,20,2,NA,NA,NA,40,4,2,NA,NA,NA,65,10,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Once or twice","Social",NA,"Yes","No","No","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Public","Graduate student",NA,"Undergraduate","Male","White",25,"Yes","No",NA,"Brasil",NA
222,70,70,1,2,"Foram apresentados dados que confirmavam as hipóteses levantadas e discutidos aqueles diferentes do esperado.",NA,80,80,2,NA,NA,NA,90,90,1,2,"Foram retiradas informações para atender o número de páginas solicitada pela revista.",NA,80,80,2,NA,NA,NA,80,80,2,NA,NA,NA,80,80,2,NA,NA,NA,60,60,2,NA,NA,NA,70,70,2,NA,NA,NA,70,70,2,NA,NA,NA,70,70,2,NA,NA,NA,"Once or twice","Once or twice","Occasionally","Never","Psychological Assessment",NA,"Yes","No","No","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Private","Emeritus professor",NA,"Doctorate","Female","Parda",46,"Yes","No",NA,"Brasil",NA
224,100,100,1,3,"AS revistas não aceitam estudos com resultados negativos",NA,0,0,2,NA,NA,NA,0,1,2,NA,NA,NA,0,0,2,NA,NA,NA,0,0,2,NA,NA,NA,0,0,1,3,"Após a obtenção dos resultados todo o artigo foi reformulado utilizando-se nova literatura.",NA,0,0,2,NA,NA,NA,0,0,2,NA,NA,NA,0,0,2,NA,NA,NA,0,0,2,NA,NA,NA,"Never","Never","Never","Never","Evolutionary",NA,"Yes","Yes","Yes","Yes","Yes","No","Yes",0,NA,"No","Yes","Yes","No",NA,"Teaching","Public","Associate professor",NA,"Doctorate","Female","Yellow",52,"Yes","No",NA,"Brasil",NA
228,5,5,2,NA,NA,NA,85,65,2,NA,NA,NA,60,55,2,NA,NA,NA,45,38,2,NA,NA,NA,50,50,2,NA,NA,NA,45,25,2,NA,NA,NA,11,10,2,NA,NA,NA,12,8,2,NA,NA,NA,32,33,2,NA,NA,NA,90,90,2,NA,NA,NA,"Often","Once or twice","Often","Never","Clinical",NA,"No","Yes","Yes","No","No","No","No",1,"Demonstração de técnica em projeto piloto","No","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Undergraduate","Male","White",32,"Yes","No",NA,"Brasil",NA
231,76,50,2,NA,NA,NA,90,46,1,2,"A omissão deste tipo de informação, na minha opinião, está mais relacionada à prescrições do texto acadêmico e da construção de ciência que a psicologia fez ao longo do tempo. No meu caso, a escolha teve a ver com avaliar que a informação era  menos  importante que as outras diante do pouco espaço disponível para o texto.",NA,61,61,2,NA,NA,NA,80,54,2,NA,NA,NA,53,54,2,NA,NA,NA,78,43,2,NA,NA,NA,83,28,2,NA,NA,NA,82,35,2,NA,NA,NA,86,51,2,NA,NA,NA,86,75,2,NA,NA,NA,"Often","Occasionally","Occasionally","Occasionally","Social",NA,"Yes","Yes","Yes","Yes","No","No","No",1,"estudo de caso","No","No","Yes","No",NA,"Teaching","Public","Graduate student",NA,"Undergraduate","Female","Black",25,"Yes","No",NA,"Brasil",NA
232,62,66,2,NA,NA,NA,82,48,1,3,"RELEVANCIA",NA,64,46,2,NA,NA,NA,90,91,2,NA,NA,NA,82,83,1,3,"PESQUISA QUALITATIVA",NA,72,41,2,NA,NA,NA,50,10,2,NA,NA,NA,50,21,2,NA,NA,NA,50,22,2,NA,NA,NA,75,11,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Never","Social",NA,"Yes","Yes","Yes","No","No","No","No",1,"Observação participante","No","No","Yes","No",NA,"Equal emphasis","Public","Graduate student",NA,"Masters","Female","Parda",30,"Yes","No",NA,"BRASIL","PESQUISA POUCO ADAPTADA PARA ÁREAS QUALITATIVAS"
241,89,100,1,2,NA,NA,40,11,2,NA,NA,NA,36,21,2,NA,NA,NA,69,33,2,NA,NA,NA,90,50,2,NA,NA,NA,72,28,2,NA,NA,NA,50,6,2,NA,NA,NA,43,26,2,NA,NA,NA,49,10,1,1,NA,"Falta de experiência ",35,18,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Once or twice","Clinical",NA,"Yes","Yes","Yes","No","No","No","No",1,NA,"No","No","No","Yes",NA,"Equal emphasis","Private","Graduate student",NA,"Undergraduate","Female","White",28,"Yes","No",NA,"Brasil",NA
246,80,70,2,2,NA,NA,50,50,1,2,"Dada a limitaçao na extensão dos manuscritos temos que selecionar as condições que consideramos mais relevantes",NA,51,90,1,2,"Algumas variáveis medidas ao longo de um estudo podem ser posteriormente verificadas como irrelevantes e serem descarnadas das análises.",NA,40,50,2,NA,NA,NA,21,50,2,NA,NA,NA,31,20,2,NA,NA,NA,20,2,2,NA,NA,NA,20,2,2,NA,NA,NA,6,1,2,NA,NA,NA,5,5,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Never","Social",NA,"Yes","Yes","Yes","No","Yes","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","Emeritus professor",NA,"Doctorate","Female","White",63,"Yes","No",NA,"Brasil","Tive dúvidas sobre minha avaliação dos percentuais mas achei a pesquisa muito bem estruturada. Parabéns!"
248,30,40,2,NA,NA,NA,70,50,1,2,"O campo de estudo não me possibilitou uma amostragem considerável, então, por ser uma pesquisa qualitativa usei os dados quantitativos, sem aprofundar os resultados desses dados. ",NA,70,90,2,NA,NA,NA,60,60,2,NA,NA,NA,90,90,1,3,"Utilizei uma abordagem teorico-metodológica que me possibilitou que ao chegar num ponto de  saturação  parasse de coletar dados",NA,30,30,2,NA,NA,NA,70,60,2,NA,NA,NA,50,51,2,NA,NA,NA,50,50,2,NA,NA,NA,20,10,2,NA,NA,NA,"Occasionally","Occasionally","Often","Occasionally","Social",NA,"Yes","No","Yes","No","No","No","Yes",1,"pesquisa qualitativa, etnografia","No","No","Yes","No",NA,"Equal emphasis","Public","other","Técnico em Administração","Masters","Female","Parda",30,"Yes","No",NA,"Brasil",NA
256,60,60,1,3,"A prática de pesquisa se justifica pela importância na valorização da Psicologia e ampla divulgação do nosso fazer enquanto ciência e profissão, ainda rodeado de muito mitos na sociedade brasileira.",NA,40,30,2,NA,NA,NA,60,40,2,NA,NA,NA,93,68,1,2,"Por entender que a pesquisa pode sofrer transformações no meio do percurso.",NA,65,48,2,NA,NA,NA,86,72,1,2,"Colocar como resultado esperado e o percurso da pesquisa estabelecer outro norte.",NA,30,1,2,NA,NA,NA,30,0,2,NA,NA,NA,58,50,2,NA,NA,NA,27,19,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Once or twice","Organizational and Work",NA,"Yes","No","Yes","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Private","other","Sou estudante de doutorado e professora adjunta","Masters","Female","White",31,"Yes","No",NA,"Brasil",NA
257,80,50,1,3,"Em tese, resultados negativos trariam pouca informação agregada. Comunicar que um fenômeno não foi produzido em determinadas condições diz pouco sobre as condições em que o efeito é evidenciado. Relatos são sempre  descobertas . Há casos em que se demonstra que um procedimento não funciona, e seu significado muda crença anterior de que funcionaria. Nesses casos o relato é relevante.",NA,40,20,1,2,"Os relatos de pesquisa são formatados para reduzir o que é comunicado ao estritamente relevante. Alguns aspectos considerados secundários podem ficar de fora do relato. Eventualmente a posteriori verifica-se que foi uma decisão que dificulta o entendimento do efeito relatado.",NA,99,20,1,3,"Sempre escolho medir aspectos que desconsidero depois na análise e nem relato por considerar irrelevantes. Exemplo: na análise do comportamento colho sempre a latência da resposta, mas nunca encontrei consistência nessa medida. Simplesmente ignoro isso nos meus relatos. Talvez se mencionasse pudesse ajuda outros pesquisadores a lidar com essa variável.",NA,75,50,1,3,"Na verdade não uso amostras de participantes, mas condições experimentais, e adoto a mudança de procedimento para alcançar sucesso na obtenção do evento estudado. Descrevo a história de manipulações consistentemente.",NA,50,50,1,3,"Projetos e planos governam os estudos mas não pode haver obediência cega. O modelo de teste de hipótese exige essa fidelidade ao desenho experimental. Não sigo esse modelo.",NA,25,1,2,NA,NA,NA,0,0,2,NA,NA,NA,10,0,2,NA,NA,NA,0,0,2,NA,NA,NA,50,15,2,NA,NA,NA,"Never","Never","Once or twice","Never","Behavior Analysis",NA,"Yes","Yes","Yes","No","Yes","No","No",0,NA,"No","Yes","No","No",NA,"Equal emphasis","Public","Emeritus professor",NA,"Doctorate","Male","White",65,"Yes","No",NA,"Brasil","Difícil de responder a certas questões..."
258,80,60,1,2,"Creio que porque nosso acesso também é majoritariamente a dados desse tipo, nos artigos anteriormente publicados",NA,60,45,2,NA,NA,NA,50,65,2,NA,NA,NA,60,30,2,NA,NA,NA,80,70,1,2,"Pelo fato das coletas, no meu caso, ja demandarem muito tempo. Em caso de finalização antes do previsto é vantagem para novos planejamentos de pesquisa e divulgação dos dados",NA,40,25,2,NA,NA,NA,15,2,2,NA,NA,NA,75,65,1,2,NA,"Por não afetar a fidedignidade dos outros dados obtidos",75,45,2,NA,NA,NA,45,40,2,NA,NA,NA,"Occasionally","Once or twice","Occasionally","Never","Behavior Analysis",NA,"Yes","Yes","Yes","Yes","Yes","No","No",0,NA,"No","No","Yes","No",NA,"Research","Public","Associate professor",NA,"Doctorate","Female","White",41,"Yes","No",NA,"Brasil","Gostaria de que os dados fossem divulgado amplamente, inclusive via Anpepp"
262,25,100,1,3,"Produção de conhecimento de efetividade em técnica e instrumento para intervenções efetivamente válidas e com evidência científica",NA,40,30,2,NA,NA,NA,10,30,2,NA,NA,NA,50,90,1,3,"Verificar, através do aumento da amostra, se os resultados se mantém ou se podem ser considerados significativos após essa mudança",NA,30,10,2,NA,NA,NA,20,10,2,NA,NA,NA,7,0,2,NA,NA,NA,10,10,2,NA,NA,NA,80,50,2,NA,NA,NA,30,10,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","Legal, Forensic, and Criminal",NA,"Yes","Yes","Yes","No","No","No","No",1,"Transversal de avaliação","No","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Masters","Female","White",24,"Yes","No",NA,"Brasil",NA
