"","QRP1","QRP2","QRP3","QRP4","QRP5","QRP6","QRP7","QRP8","QRP9","QRP10","QRPgeneral"
"93","I personally remember less of non-significant results; moreover positive results are often emphasized in publications so they are less documented. Unfortunately I have a few manuscripts with non-significant results but am really concerned about how editors and reviewers will react when facing papers with non-significant results. For this reason, I prefer not further developing them","I don't have a problem with omitting some statistical results if they are not statistically significant and if they do not add to the story of the main paper. However, I always try to include full statistical tables in the supplementary information to ensure that interested readers have access to the full analysis if they want. Often this kind of practice is advocated by reviewers who want to streamline the messaging in the paper.","I don't think it is a problem to use exploratory analyses- the author should just be clear about it. ","I don't understand the question","I feel it is always best to present 2 significant digits for P values, and do not like arbitrary cutoffs such as 0.05. I personally only put much faith in results with P&lt;0.001","I would say that it is very possible that these data points might be true outliers, e.g. data mistakes, and then correcting the analysis is sensible. This should be always done with extreme care.","I don't see a problem with this if you are just checking whether you are seeing interesting trends in pilot data to decide whether to invest considerable time and effort in collecting additional data.","I see this happening a lot with authors using model selection based on information theory (AIC, BIC, etc...) to justify this decision. While there are valid reasons for adopting an information-theoretic approach to model selection, this is not one.","Issues with the methods are important context for the results, and should not be viewed as invalidating the study. They should only change the context within which we interpret the data.","Isn't that just inventing data?","love to see the results"
"94","I run lots of experiments that do not find anything, or are inconclusive. I can't explain them, and they are pretty boring. ","I don't really see the purpose of not reporting such covariates? If they are deemed to affect the response variable in the first place.","I don't think it is necessarily a black and white situation ...","I don't understand this","I had never considered this ""method"" before. Of course it should not be used as it is mathematically incorrect however you view it.","If few points strongly change the significiance of the test, the relationship is really weak ","I don't see the problem in seeking for more support to your initial ideas. It will be only abductive support anyway. To really test your explanatory hypothesis you need evidence coming for others sources.  ","I sure hope people don't do that unless they have clear evidence that their first statistical method was flawed.","It's a relevant information and can impact the way the results can be discussed.","It's bad practice, for sure. ","Many of the practices you report are well spread among the scientific community (at least as ecologists are concerned). However, my feeling is that in most occasions there is not an unethical conduct, but most often there is just lack of knowledge and ignorance about the proper use of statistical methods. This extends to scientific journals, that most of the time have not adequate reviewers to evaluate the robustness of the statistical methods used. My opinion is that scientific journal should have some kind of statistical reviewers to see whether the methods used are sound or they have serious limitations that might question the validity of the conclusions."
"95","I sometimes focus more on significant results and decide not to report some other results for the purpose of making a more clear conclusion. But, I don't feel it's the best practice. Other ambiguous results should also be reported if there's enough space and given attention.","I don't see any good reason to not report all statistical results if used in writing the paper. ","I don't think it matters as long as the data were analyzed in a robust and unbiased manner and the results are presented accurately. I think that the paper should present the facts in the way that makes them easiest for the reader to understand and place in the context of the broader literature. The practical aspects of the results were uncovered is, to me, irrelevant.","I don't understand whether you are asking about the practice of *reporting* the testing of a 'best' model when multiple models were tested, or the just the testing multiple models. My answer assumes the former.","I have no problem with p=0.051 or the like being interpreted with caution. I expect the same for p=0.049","If I am concerned about apparent outliers I present results for both analyses that include and exclude them.  Readers can then come to their own conclusions concerning the information provide by such observations.","I don't see why this practice couldn't be used. Not finding statistical significance is just indicating that you are not able to reject the null hypothesis given your data, and that might have to do with having insufficient number of observations. In that case, it might be justified to increase the sampling effort after running some preliminary analyses where you did not find any significant result.","I think a lot of people realize that their data and the initially chosen model don't work, once the data are collected - variance is too high or they forgot to think about some covariate at play. In an experimental study, where the researcher controls design of the data, I think it is less common but not uncommon.","It's common to run into problems with ecological data, which are generally quite messy. Not disclosing problems may result in a lack of consensus when other researchers test the same hypothesis, and also reinforces the notion that ecological studies should be completely free of issues. Problems that are explained and justified belong in the manuscript. ","It's deceiving to do so. You should always report it","Many questions were a bit too vague for me to have a clear opinion. Depending on how I interpreted the question, I could see cases where I thought the practice would be appropriate, and those where it would not. "
"96","I suspect most researchers would readily publish non-significant results if it wasn't so difficult to do so (particularly in terms of what journals are willing to accept) and counter to the culture of high-impact publications.","I don't think this should be used. If a covariate was included in a model, then it should be reported whether its statistically significant or not.","I don't think it shouldn't be used... I think this practice is more to do with the way the science tends to be funded. Those cool ideas or patterns that emerge often weren't predicted form the start... but they turn out to be more interesting than the original plan of research!","I find the question not very clearly phrased. Do you refer to testing for potential explanatory variables that later are not reported on. Do you refer to something like transformations where one looks at diagnostics of different models and then reports the one model with the best diganostic plots. Do you refer to something like the order of explantory variables?","I haven't used p-values for the last 7-8 years. I don't think p-values are of much help, and even more when they are close to the significance threshold (either alpha = 0.05 or 0.01). Anyway rounding-off a p-value is not an honest practice. Fortunately I have never seen a researcher doing so.","If it is mentioned in the methods and if there is a good biological reason to exclude those points (e.g. measurement error), I think that this practice is ok. It just needs to be transparent.","I don't typically do studies looking only for significant results, but this would not be a good way to conduct science.  On the other hand doing preliminary analyses to assess power or determine appropriate sample sizes is credible.","I think during the data exploration phase people probably try out multiple statistical analyses to see which best models their data. For example, maybe they start with generalized linear models (and maybe p-values are not ""significant"") but then realize that their data do not meet assumptions of these models so then move on to a different analysis, not necessarily because their p-values weren't significant but to find a more appropriate analysis for their data.","It's dishonest","It's dishonest.","Many statistical issues depend on context. Observational studies have different scopes of inference than experiments. Nonparametric or Bayesian approaches have different issues with significance."
"97","I think each individual study needs to decide if this is appropriate or not. If the study was designed specifically to test the significance of particular variables, then those should be reported (significant or not). However, if the study tested the significance of other variables as a precaution (i.e., just to make sure that there were no other confounding variables), and found them to be non-significant, then I don't think it is an issue not to report those. Or, perhaps, to put them in the methods section as ""Variables X, Y and Z were monitored and found not to significantly affect response variable T"".","I don't think you should just pull covariates out of your analysis because they do not significant effects because I think it is important to show readers that you have considered these variables (supposedly you had a reason to believe they may have had an effect) and they were indeed tested. When it comes to meta analyses and comparing between studies, I think it is valuable for scietists to be able to see which factors had an influence in which systems (e.g. amplitude of traffic noise may affects signals of some species of birds but not others).","i dont really have an opinion on it","I guess in principle this shouldn't be done, but in reality you often do some simple exploratory analyses or alternative types of models, just to get a feel for the data. It's not usually very interesting to report all these various approaches, especially if they tend to give the same qualitative result.","I personnaly used it to homogeneise the presentation of the results. But I think that being more precise is important. /  / It is also important that recherchers do not be obsessed by values of p, but more on teh biology behind","If ONE point affects an entire data set either way, then it has way more leverage on the results than it ought to.  /  / It should always be reported as occurirng and is easy to do so in a plot","I estimate exactly 83% for this one! No really, I think the above slider is a little bit strange because if you want to talk about artificial accuracy, it lies in the idea that anyone could differentiate between 82 and 83% of researchers. I might suggest a metric such as ""None, Some, Many, All"". That's about the level that I think most researchers could actually estimate at. /  / Anyway, not a good practice to perform, but sometime researchers on limited budgets may have access to some data but need to decide whether to invest additional funding/work into a project. Again, not an ideal way to do science but occasionally life intervenes. Ideally, research projects should be self-contained and experimental designs should be conceive of with a total sample size in mind, but of all not-so-great-science practices, this one doesn't bother me as much as some of the others. ","I think it can be used as long as both results are reported; the readers can decide for themselves how to use that information.","It's dishonest.","It's dishonest.","Most of my percentages were really plucked out of the air -- I have no real certainty about any of the values, so I doubt these data (from anyone, not just me) can tell you much. For example, if you end up reporting ""50% of behavioral ecologists think that researchers at other institutions are guilt of scientific misconduct"", then I'd reply ""so what, I don't care what they THINK, I want to see verified data on actual levels of misconduct""."
"98","I think it's appropriate when an entire experiment (or an entire set of analyses looking for some pattern in observational data) turns up nothing -- the whole enterprise is then not worth reporting. It's not appropriate when it is used to cover up ""data dredging"" -- doing a whole bunch of unreported analyses that didn't achieve the usual standards for significance, and only reporting the few that did. ","I find most people report insignificant covariates. I don't think this is a pervasive problem.","I feel strongly that we shouldn't have to pretend unexpected results were predicted. However, this is often problematic for presentation in a manuscript. I once tried to present a manuscript without a clear prediction (noting that the literature didn't support one) and an editor made me re-write it around predictions that I told him/her I didn't really have!","I guess it all depends on the approach you use whther frequentist or not. It's sure that if you use AIC or AIC weight... you need to report the complete set of models you used. ","I see no problem with this practice as long as the rules of rounding are followed (i.e. 0.054 is rounded to 0.05, but 0.056 is rounded to 0.6), and the actual value of statistical test is reported. ","If there are strong grounds for thinking that extraneous factors are involved, then yes.","I feel that trying to confirm a previous significant results by doing further sampling is a valid way to increase confidence in this specific result. On the other hand keeping on to continue collect data when p is not quite significant and stopping when it is not such a great idea.","I think it is another way to explore the data.","It's dishonest. I believe it is standard to report problems with the methology, so I don't think people make this mistake very often","It's pretty easy to explain interpolation and simulation - can't imagine why you wouldn't. Results and interpretation could be compromised, and given importance of n in statistical analysis, results are quantitatively compromised by the practice.","Most of my research involves large, long-term, observational data sets, rather than controlled experiments designed to test a specific hypothesis.  I think that might cause me to be more open to exploratory analyses and trying out various models that are never reported (because the data are complex and messy, with many potential covariates due to uncontrolled factors), compared to someone who works strictly with data from controlled experiments."
"99","i think it is difficult to publish non-significant results. but in my opinion, these studies or results are equally important, if not more important.","I find the options provided worded as ""It should..."" very restrictive. I think it is common for people to have many covariates that are not reported in the end because they were simply not useful to begin with, but exploring a covariate A not necessarily useful to explain C might be sensible any way as it could e.g. lead to a better undestanding about what might cause a given response in C from variable B","I find the opposite to be common practice in order to make some predictable results appear groundbreaking","I guess it depends on the dataset and the type of question. For experiments set up with clear a priori hypotheses, it should not be done. But when working with large datasets collected by multiple groups, data exploration is often necessary to understand data structure and identify the proper statistical test.  ","I see no reason not to show the exact p value. ","If there is an outlier affecting the relationship, then this could be occasionally removed, but this has to be mentioned clearly in the manuscript. Otherwise, we should not remove any data points. ","I guess I've head of this being an issue in the psychology community, but I can see that ecologists might use it as well. To be honest, I usually have had only limited funds. Even if I wanted to collect more data, I haven't had the $ to analyze them.","I think it is okay to try lots of different statistical approaches","it's hard though, because as a researcher in a complex study, there are so many areas where you can have doubt... eg did the equipment actually work as it was supposed to? did we make any mistakes in data entry? some of these may be just doubts, but sometimes you know that the equipment isn't always 100% accurate but you still have to work with it, and at some point you have to trust your data.","It's wrong to do because you will tend to not find potencial real effects (well, depending how you do it you could go the other way, but that would be much more critical and essentially fraud) I used it in my first ever published paper. I am embarassed to admit it. I had 2400 simulation sets, and after resubmitting a paper a reviewer asked a question about a summary statistic that required recomputing a mean over those 2400 simulations, or some such. I had deleted inadvertently 100 simulations. I just simulated the 100 observations I needed from the distribution I knew the data had (ie. I had a mean and an sd right, bot the actual values). This was a minor point in the entire paper, so I know the impact on the paper was negligible, and of no practical consequence, but it was still wrong.","Most of the issues you ask about are side-effects of significance testing. They don't really apply to researchers who focus on estimation and likelihood-based approaches. "
"100","I think it is important to report results that show ""no effect"". In some cases, however, it might not make sense to report these if the investigators believe that there is simply insufficient power to test for differences - and therefore ""no significant difference"" is not so biologically meaningful. Mostly though I think there is just not much space in manuscripts and so authors are encouraged to focus on ""interesting"" findings.","I have failed to report non-significant covariates when I didn't trust the original covariate data (i.e., I suspected it wasn't significant because there were too many gaps or it wasn't collected well)","I focus a lot of my writing on building a narrative, so if I get an unexpected finding, I still typically build the story around that result. I don't say that I predicted it from the start, but it often becomes the focus on the narrative","I have been taught that data exploration and checking residuals is really important. I would be very reluctant to have confidence in my results if I spent 5 minutes doing a model once and then wrote up the results.  /  / I understand the theoretical concern of multiple testing. ","I think it's close to data manipulation","If these data points are outliers and their removal from the analysis can be justified on these grounds, this practice is acceptable.","I have chosen ""it should only be used rarely"", but what I actually think is ""it can be used if necessary"", although I have never done it simply because I don't feel like repeating the same experiments. ","I think most of the time people change their mind on stats to use once the R² or p-value is obtained and does not suit intuition. The thing is, they also probably change their mind because the initial statistical approach was ill-suited (like using ANOVA with asymptotic F tests on non-Gaussian data). This is not as crucial a problem as the other questions so far - if an effect does not exist, it should resist all statistical procedures applied to it.","It's important to let other people evaluate the conclusions of your analysis","It disrupts research integrity.","NO"
"101","I think it is often hard to get null results published unfortunately.","I have had this discussion on numerous occasions as well as published on it. ","I have mixed feelings on this. I understand the need of predicting before running the analyses, running the experiment, but I think important finding come from exploratory analyses as well. I also have difficult to understand what ""from the start"" mean. It cannot be ""before obtaining dataset"" as it would not work for long term and large scale dataset (e.g. from stakeholders) that allowed to find important patterns. ""Before running teh analyses"" would not work as well because it would almost always be true.","I have done it in the past to save space and make the manuscript cleaner when all answers are qualitatively the same, but one model is simple to explain - in these cases I saved all results, ready to share if needed. More recently I use electronic supplements to provide these alternative models for reviewers and readers. I think it's common to test multiple models when people are working with large public data sets, and uncommon when people are working with experimental data in which they controlled the design of experiments.","I think it's fine.","If this specific point can be clearly argued as beeing an outlier, I think it's fair to do so. And/or if the final result is not affected.","I have done it but I checked ""out of curiosity"". Collecting more data was planned anyway. Should be avoided as the adequate sample size should be chose a priori. I think it is ok to do it if one has no prior of the expected size of the tested effect but then it should be mentioned in the publication.","I think that exploring multiple analysis types is a natural part of data analysis. The question is - how much faith do you have in the one kind of analysis you chose? Why did you choose that one? Is it really the best way to analyze your data? If you expect to see an effect, but don't - is that because of your analysis? I think that's a worthwhile question to explore.","It's very important that researchers are honest with each other about the reliability of their results, so that everyone can draw their own conclusions based on the facts.","it is a manipulation of data and can change the conclusions","Nope, great questions. A little long but useful"
"102","I think it is sometimes inevitable when exploring complex datasets ; it is frequent to investigate the influence of some variables that are not crucial to the main question at the exploratory stage, and to omit it from the final manuscript eventually. I believe banishing such a practice would be very difficult. Given the level of energy required to publish, it would be difficult to publish all the student projects that have not been fully completed, for ex. ","I have never knowingly done this, and I think it is wrong. /  / However, I think it is possible to do this by accident, because of the need to be brief in writing up results, which may be complex and cover lots of variables. /  / It would not always be detected at review either.","I have never presented a finding as if it alone were predicted, but I have presented an unexpected finding as if it were one of several possible predictions, which I think is OK if done carefully as it can help set the context of the study better","I have done this in the past due to 'jumping' into my analysis, and then realising later on (not-related to whether results are significant) that I can use a better proxy for some of my predictors/response variables, and so redid the analysis. I have not done this simply because I didn't get the result I wanted though! This is the hall-mark of data-fishing, and I think a huge number of researchers do actually do it without realising it is a terrible practice.","I think it is not important","If you have a good reason to exclude the data point it's OK even if it does improve significance. But cherry picking and removing data for no reason other than that it removes your significance is unethical.","I have no problem with this.","I think the simplest statistical approach that does not grossly violate model assumptions should always be used. In my mind, using more complicated statistics to clarify a marginally significant trend will almost never result in better p-values unless your parameter estimates and model inferences are biased by broken model assumptions. ","It disrupts research integrity.","It is cheating.","Ok as it is is missing in a question"
"103","I think it should be used because in ecology (and field work) there are too many reasons why a result is not significant.  Flooding the literature with insignificant results would drown out the significant findings. /  / Our field is not like medicine where, e.g. a drug not having a significant effect is a significant observation.  /  / The only time it seems worthwhile to report an insignificant result is when it's important for hypothesis testing.  ","I have no idea on the frequency with which this practice occurs ","I have no answer for (a), but I do think it is more interesting for a hypothesis to be refuted than supported.","I have not been in this position before in my research. I am not entirely sure what would be the reasoning for not presenting certain models, but I feel that if tested they should be presented or at least report that they were inconclusive (if that is the case)","I think it is OK for secondary results; maybe it is also not a big problem for main results. One should keep in mind that these thresholds are not of special value. For me, the results with p=0.049 and p=0.051 are of virtually  the same confidence, while the results with p=0.048 and p=0.02 are of different confidence","If you have an obvious outlier, you collected data on a day when it shouldn't have been collected, I can understand leaving a data point out. BUT you report that in the methods section and explain why you did it.","I have on the other hand, done a preliminary analysis for a prepublication talk, and then finished collecting the data I had always intended on collecting. Several times, this has resulted in me publishing different results than I had initially presented at a conference.","I think this is dishonest. /  / The only exception is if this is admitted upfront and a justification of the method switch is provided. Then the process is transparent and the reviewers can decide if it is justified.","It doesn't have to be explained why this is bad. The motivations are clear as to why authors do not to want to hand a noose to their reviewers, or otherwise this wouldn't happen.","It is dishonest. ","Perhaps the main issue is not the use of statistical tests and significance levels, but rather that people don't feel free to use alternative methods. This is an education problem. / Hobbs, N. T., & Hilborn, R. (2006). Alternatives to statistical hypothesis testing in ecology: a guide to self teaching. Ecological Applications, 16(1), 5-19. / Also, this survey is not completely relevant to some areas of research within ecology where missing data are inherently present in datasets (e.g., CMR data), or areas of research where prediction is more important than explanation (e.g., data mining). /  / https://mchankins.wordpress.com/2013/04/21/still-not-significant-2/ / "
"104","I think often when you're not sure how to analyse your data you end up doing many many different tests. Reporting them all is actually quite silly. Of course you shouldn't just report significant things, but reporting tests you did that turned out not to say anything at all about your questions, in the end, is not useful.","I stated ""never"" above. Sometimes I may not describe the full results of a model in the Results section. However, I believe I have always stated the independent variables used in the Methods section and/or published the model output as supplementary materials. /  / Why is this important: The non rejection of a null hypothesis can be as important as rejection. For meta-analyses or Bayesian approaches, the non-significant results of previous studies can be included. The problem of collinearity.","I have no idea how to gage the number of people that do this.  When I publish an ""unexpected finding from an exploratory analysis"" that was not in the original model set, I clearly identify this as a post-hoc model.","I have reported a set of models while indicating that other candidates were not reliable. I think it is important that ecologists and scientists in general should be honest with themeselves first, and if a model is a candidate but will not explain anything in its own opinion/experience, they are free to decide not to report it.","I think it should not be used for the 0.05 threshold.","If your question concerns 'massaging' the data, i.e. exclusion of some data points to acheive statistical significance, then this is just a falsification of the results. However, exclusion of statistical outliers is a routine practice; it should be preformed when justified, and it should be reported in publications.","I have used it when current results are marginally significant and reviewers have asked for larger sample size.","I think this is legitimate, so long as all of the approaches are documented in the write-up. For example, one might conduct an analysis which shows non significance. This analysis would be based on a set of assumptions that the test is itself based on. One might then test these assumptions. If the assumptions have not been met, it would be legitimate to try another kind of test. I have often shown the results of both parametric and non parametric tests of the same data, for example, to examine how robust the findings are to the kind of test that is used. I think this is a useful approach. But again there needs to be complete transparency. ","It is dishonest and it could hurt other scientists that rely on your results. And it could make you look bad if other people know that the analysis is not appropriate.","It is dishonest. Again you just have to indicate it in the paper and it isn't an issue","Please consulting an statistician on the questions included in this survey. Quite few of them are very ambiguous. "
"105","I think that all possilities should be tested and included in a publication.","I tend to do experiments, so wouldn't analyse the data with a covariate except as a post hoc bit of data dredging (and if something showed up, I'd do a new experiment to test it).","I personally dislike this approach (re-framing hypotheses down the track based on initial findings) but believe it is very common and have definitely been specifically recommended to do this by supervisors / senior coauthors. I think it can be done in ways that are less and more detrimental... it can be useful in wrapping up a 'neat story' but definitely biases against negative results and risks inappropriate study design for the final hypothesis. ","I most certainly think that this should not be used simply to try and find a model that has significant p-values (i.e., p-value fishing). However, I personally have used it on occasion when several different approaches are valid but one might be more sensitive to low sample sizes or more prone to low statistical power when using multiple predictor variables. I do, however, on occasion (if word limits of journals permit) also report those initially 'failed' tests plus the final test I then ended up using. Most of the time, though, this is only reported during the review process but simply cannot be added due to restrictive word limits.","I think its misleading. As scientists we should be able to interpret p values for the information they give. Adhering SO STRICTLY to a cutoff is not useful or meaningful.","In an ideal world this would never be done. /  / However, if the process is transparent, the points excluded are flagged up, and justification provided (e.g. an independent assessment that the data is less reliable), then the reviewers could decide if the decision was justified. /  / It would need to be stated that significance was conditional on the decision to exclude.","I often conduct meta-studies of published data, or collaborations for which data is collected externally. If the dataset is pre-defined, continuing to collect is not an option.","I think this is marginally acceptable IF YOU REPORT THAT YOU CHANGED THE ANALYSIS BECAUSE THE FIRST DIDN'T TURN UP ANYTHING. If not, it's fraud.","It is dishonest.","It is essentially falsifying data.  If there are cases where it is justifiable to fill in missing data, it should be report in the study so that reviewers and readers can assess whether it is acceptable in that specific case.","Please email the paper, once is published, to all the people you asked to answer this survey. Tks and good luck!"
"106","I think that the practice biases the results of published work by omission and perhaps encourages researchers to follow the same dead ends over and over because they don't have the benefit of the body of evidence that indicates that something is not related. The issue is finding places that you can publish non-significant results. I don't aim to exclude those studies, but getting them published is a challenge and they're unlikely to be highly cited, so they can become low priority or simply get rejected.","I think all of the results should be available even if it means that non significant variables or covariates are reported only in an appendix or supplement.","I really don't know how often this happens. Sometimes an author may need to cast a paper a certain way to make sense, so I don't really have a problem with it. ","I suppose my opinion on this depends on the type of data being tested... sometimes I test models with a great deal of parameters in the exploratory data phase, without thinking they may be biologically meaningful (just to check for any unexpected surprises prior to moving on).  I think it is not a good practice if you fit a model that you expect to be a good fit, then find it to be a poor fit, and continue on to test others.  The best bet is to be very clear in the description of methods.  ","I think p-values in general are a poor way to evaluate results in ecology. Things are so messy in the natural world. Although I think it's important to stick to a priori methods, being so rigid in this p-value business is probably not good for gaining a better understanding of the natural world. That's probably why so many of us have switched to using information theory.","In cases where the significance of a particular effect is doubtful given the global trend, or the data cloud, or the number of data points, and is due to the presence of a single point in the data set, then yes you should potentially remove that point and stand that the significance observed is not strong enough","I rarely use p-values. Anyway, p-values are highly dependent on the sample size, and sometimes hypotheses are rejected because sample size is insufficient, or supported because sample size is huge and even small differences become significant. So in my opinion it really depends on how honest are researchers (and to what extent they understand what they are doing), because the practice in itself might not wrong I believe.","I think this is ok for data exploration .","It is fraud. ","it is fraud","Please let me know the results of your study. Thanks!"
"107","I think there are two questions again: reporting studies and reporting all single tests in one study. Not reporting whole study that fails to find (any) statistical significance is problematic and affects, for example, meta-analysis later (the famous file drawer problem). But not reporting all the tests within a report or article is not that problematic if stated that ""only significant tests are reported"" and if also mentioned what variables were tested. In fact, often editors and reviewers ask for this, to reduce the space needed for an article. Nowadays, electronic supplements offer a better possibilities to report all tests.","I think it's standard practice to not display covariates that did not reach statistical significance.  I would normally only show them if my original hypothesis was that the covariates were significant (to show the negative results).","I see this as a common temptation among graduate students. However, there is nothing wrong with predicting one thing, but finding another. So, there is no reason to say something was predicted from the beginning if it was not.","I tend to favor reporting results from all models fitted to data.  However, as with the previous question, there is often some EDA that happens somewhere along the way.  With all the possible model permutations, the possible number of models to run on a given data set it often extremely large.  On occasion, I have started fitting models where one or more functional forms lead to obvious lack-of-fit (e.g., Poisson vs. Negative binomial).  I've used this process to restrict functional forms, often reporting this in the text (e.g. initially, we tried fitting models with Poisson error structure, but...).  But then when I report results of a model selection exercise, I will often include ALL specific predictive covariates being examined -  as these tend to be of the most interest scientifically.   So, I think this practice is okay if used to identify one or more useful model structures as long as inference for all tested covariates is reported.  In an ideal world the process used to identify model structure would also be made clear even if specific results are not reported.","I think p-values should not be used as absolute markers of significance as there really is very little actual difference between p =0.054 and p=0.05.  So I guess I am ambivalent as to whether or not this should be done, but am against using p-values as the sole arbitrator of 'significance' in general. ","In my field, collation of training sets is important. And if you are interested in investigating a desired gradient, increasing number of sites may change significance of specific data.","I really don't know how many people might do this. Scientific design books suggest doing a pilot study to see if things may work, so... I personally just do my study with the data/ sites I have and do the analysis after the data is collected. I have never been in the position to have enough funding to go get more data.","I think this is quite a field-specific question. In cases where the entire study design and analysis appraoch is planned form the start, it should be avoided. However in some subfields (e.g. ecological genomics) there may not be an obvious 'best practice' analytic approach and it may be appropriate to investigate different analysis types. Obviously this should be done whether or not the analysis reaches a significance threshold and (I believe) I tend to investigate several options whether the initial analysis looks 'significant' or not. ","It is important for researchers to know this information, as they will try to build on published results.","It is not ethical.","Please note that some of my answers are due to the proliferation of fake science/predatory publishers. I believe this issue to be of extreme importance and is undermining the quality of research. Too many researchers are becoming editors, reviewers, and authors for bad journals such as those published by OMICS. I do not know of a good way to control this problem with the publish-or-perish model of professional advancement."
"108","I think there is a degree of common sense to be applied here. I think a quick analysis of a speculative nature that finds nothing suggests dropping the subject and moving on to other more productive research areas - in such a case preparing the work for publication is likely to take much longer than the analysis. A more detailed investment in analyses, where the write up as a relative proportion of time invested in the analysis means writing up is far more important","I think it can be used if also explained carefully the reason for excluding the covariate. In field conditions when collecting empirical data from non-experimental design, it may be occasionally impossible to get valid measurements of a covariate even if this was originally aimed at. Excluding covariate is not staistically ideal in such cases but may still be ecologically justified.","I shouldn't be used, but editors and reviewers often want a consistent message throughout the paper. If the intro and discussion cover two completely different fields due to a complete pivot in direction of the results then this isn't possible.  However, I would always try to ensure that the story is consistent throughout the project.","I think all models should be reported. However, this could be interpreted in various ways. Sometimes people do exploratory analyses before settling on the final set of models. I think exploring the data is okay (we encourage students to make figures as a first step) and part of the scientific process, so I am not sure how I feel about this. ","I think prespecified p values are fairly unimportant in general.","In my work normaly one point is a individual so i get the variability. Because in nature is normal big variability. Once again you should have a proper n and think in the biological meaning of things. Because sometimes could be an error the outlier.. ","I think as long as you perform the appropriate multiple comparison significance adjustments then this is ok. There are guidelines around ethical 'peeking' at data that should basically be adhered to and it should also be reported in the study if you did it. ","I think this practice can sometimes be justifiable.  For example, a researcher may re-analyze a dataset using a method with greater statistical power that they had not considered initially.  Of course, in many cases this is a dangerous practice, particularly if the researcher is essentially just using an alternative analysis approach to obtain the desired significance.  ","It is important to disclose weaknesses. This example differs from the preceding ones, aporoaching falsification of data.","it is okay to fill in data you don't have (e.g., say all terrestrial vertebrates have one heart even if you haven't checked...) if it is almost certain that it is correct, but you MUST acknowledge that otherwise you lie, and make your science unrepeatable and un-falsifiable.","Questions about n maybe / "
"109","I think this is justified in occasions, because often a study does not show a significant result and hence it is deemed worthless to be reported. In my opinion, ideally we would report ALL experiments irrespective of the outcome, because 'negative' results are also useful, both to understand how a system works but also to prevent other researchers. But in practice, most of us know that it is not possible to report such negative studies as a standalone contribution, nor in scientific journals nor in other venues. / However, I believe negative results should be reported if they belong to a larger study that have also yielded other findings, as part of the research methodologies. ","I think it depends on the question being asked in the manuscript, sometimes it is impractical to report values for all non-significant results, however it could be included in a supplementary table. If the result was of direct relevance to the research question and the hypothesis then I think it should be reported in the main findings of the study (i.e. not supplementary).","I suppose that as long as scientists are human beings this cannot be fully avoided, although it should. / The difference of ad hoc, post hoc, a priori reasoning is not clear-cut. Especially experienced scientists can move easily around these, and it can be impossible to know from a published study how it went - because we cannot write that ""we studied this but actually found that""","I think everyone probably does this - try several different analyses - but I don't think researchers claim that the analyses reported are the only ones they have tried. / It is different if you are referring to a set of models within a specific test.","I think rounding-off p-values should only be used when rounding to thousandths or further, never to hundredths or tenths. That is because it would incur in rounding-off exactly towards the arbitrary threshold, as in the example sentence (reporting p = 0.054 as p = 0.05), which could be interpreted as a significant effect due to a technical issue. Under the p-value statistical approach, such threshold should be determined a priori and strictly respected when reporting results.","In some case outsiders can reduce statistical power while they are artefacts. ","I think collecting more data after checking the results is not a problem, as long as the data collection is then performed blind so that unintentional bias cannot influence the collection.  ","I think you should use the most appropriate statistical test and don't ""test shop""","It is misleading.","It is serious scientific misconduct to report results that were not observed","questions seem to come quite heavily from a P value centric view. I think good/bad practices in stats  - to a degree - depend on how heavily you lean on P values as a tool, e.g. what is wrong for a frequentist hypothesis test not always wrong for a Bayesian model trying to make best predictions"
